user_id,conversion_propensity_score,converted,user_segment,archetype,propensity_rank,propensity_decile,avg_score_in_segment,running_conv_rate_pct
U00199,99,1,High,Champion,1,1,90.36,71.43
U00775,99,1,High,Champion,1,1,90.36,57.14
U01236,99,0,High,Champion,1,1,90.36,53.33
U00860,99,1,High,Champion,1,1,90.36,56.67
U01562,99,0,High,Champion,1,1,90.36,54.84
U01972,99,1,High,Champion,1,1,90.36,56.25
U01967,99,0,High,Champion,1,1,90.36,47.73
U00207,99,1,High,Champion,1,1,90.36,52.83
U00302,99,1,High,Champion,1,1,90.36,53.7
U00566,99,0,High,Champion,1,1,90.36,52.73
U01198,99,1,High,Champion,1,1,90.36,53.57
U01350,99,0,High,Champion,1,1,90.36,52.63
U00815,99,1,High,Champion,1,1,90.36,52.11
U00312,99,1,High,Champion,1,1,90.36,51.25
U01211,99,0,High,Champion,1,1,90.36,50.62
U01932,99,1,High,Champion,1,1,90.36,51.22
U01984,99,0,High,Champion,1,1,90.36,48.35
U00340,99,1,High,Champion,1,1,90.36,45.1
U01127,99,1,High,Champion,1,1,90.36,45.63
U01271,99,0,High,Champion,1,1,90.36,45.19
U01474,99,0,High,Champion,1,1,90.36,44.76
U00040,99,0,High,Champion,1,1,90.36,44.83
U00603,99,1,High,Champion,1,1,90.36,45.3
U01168,99,1,High,Champion,1,1,90.36,45.76
U01768,99,1,High,Champion,1,1,90.36,46.22
U00272,99,0,High,Champion,1,1,90.36,44.96
U01693,99,1,High,Champion,1,1,90.36,45.38
U01348,99,0,High,Champion,1,1,90.36,47.59
U01839,99,1,High,Champion,1,1,90.36,47.95
U00196,99,0,High,Champion,1,1,90.36,48.39
U00725,99,1,High,Champion,1,1,90.36,48.72
U01509,99,1,High,Champion,1,1,90.36,49.04
U00636,99,0,High,Champion,1,1,90.36,48.8
U00059,99,1,High,Champion,1,1,90.36,48.04
U00331,99,0,High,Champion,1,1,90.36,47.78
U00587,99,0,High,Champion,1,1,90.36,47.51
U00817,99,1,High,Champion,1,1,90.36,47.8
U00112,99,0,High,Champion,1,1,90.36,47.21
U00695,99,1,High,Champion,1,1,90.36,47.47
U00389,99,0,High,Champion,1,1,90.36,47.64
U00490,99,0,High,Champion,1,1,90.36,47.42
U01673,99,1,High,Champion,1,1,90.36,46.47
U01798,99,0,High,Champion,1,1,90.36,46.28
U01982,99,1,High,Champion,1,1,90.36,46.25
U00565,99,1,High,Champion,1,1,90.36,45.98
U01268,99,0,High,Champion,1,1,90.36,45.8
U01538,99,1,High,Champion,1,1,90.36,46.01
