user_id,total_sessions_zscore,distinct_features_used_zscore,time_to_first_value_hrs_zscore,total_feature_events_zscore,max_abs_zscore,is_anomaly,converted,archetype,user_segment,total_sessions,distinct_features_used,time_to_first_value_hrs,total_feature_events
U00027,-1.605,-1.756,4.789,-1.221,4.789,True,False,Window Shopper,Low,1,1,282.0,5
U00036,-1.294,-1.756,5.682,-1.155,5.682,True,False,Late Bloomer,Medium,2,1,328.0,7
U00043,-1.605,-1.756,5.236,-1.354,5.236,True,False,Window Shopper,Low,1,1,305.0,1
U00072,-0.67,-1.248,3.469,-1.288,3.469,True,False,Late Bloomer,Medium,4,2,214.0,3
U00104,3.071,1.801,-0.629,2.134,3.071,True,True,Power Adopter,High,16,8,3.0,106
U00133,-1.605,-1.248,3.313,-1.055,3.313,True,False,Window Shopper,Low,1,2,206.0,10
U00208,-0.982,-1.756,4.634,-1.288,4.634,True,False,Growing Casual,Low,3,1,274.0,3
U00225,-1.605,-1.756,4.381,-1.354,4.381,True,False,Window Shopper,Low,1,1,261.0,1
U00228,-0.982,-1.756,6.149,-1.321,6.149,True,True,Growing Casual,Low,3,1,352.0,2
U00236,-0.982,-1.756,3.915,-1.321,3.915,True,False,Late Bloomer,Medium,3,1,237.0,2
U00244,-0.982,-1.248,3.333,-1.221,3.333,True,False,Growing Casual,Low,3,2,207.0,5
U00282,3.071,1.293,-0.609,1.071,3.071,True,False,Champion,High,16,7,4.0,74
U00307,1.2,1.801,-0.687,3.396,3.396,True,True,Power Adopter,High,10,8,0.0,144
U00337,-0.358,-1.248,4.187,-1.188,4.187,True,False,Growing Casual,Medium,5,2,251.0,6
U00359,-0.047,-1.756,3.255,-1.354,3.255,True,False,Late Bloomer,Medium,6,1,203.0,1
U00381,-1.605,-1.756,3.391,-1.321,3.391,True,False,Window Shopper,Low,1,1,210.0,2
U00385,-0.67,-1.756,4.809,-1.354,4.809,True,False,Growing Casual,Medium,4,1,283.0,1
U00401,2.447,1.801,-0.687,3.33,3.33,True,True,Power Adopter,High,14,8,0.0,142
U00460,-1.294,-1.756,5.916,-1.255,5.916,True,False,Late Bloomer,Medium,2,1,340.0,4
U00472,-0.358,-1.756,5.877,-1.255,5.877,True,True,Growing Casual,Medium,5,1,338.0,4
U00476,2.447,2.31,-0.648,3.463,3.463,True,True,Champion,High,14,9,2.0,146
U00499,0.889,-1.248,3.003,-1.022,3.003,True,True,Growing Casual,Medium,9,2,190.0,11
U00538,-1.605,-1.756,3.372,-1.255,3.372,True,False,Late Bloomer,Medium,1,1,209.0,4
U00584,3.071,1.293,-0.648,1.503,3.071,True,True,Power Adopter,High,16,7,2.0,87
U00594,3.694,-0.74,-0.668,-0.225,3.694,True,False,Growing Casual,High,18,3,1.0,35
U00604,-1.294,-1.756,3.294,-1.088,3.294,True,True,Late Bloomer,Medium,2,1,205.0,9
U00623,-0.67,-1.248,3.605,-1.288,3.605,True,True,Growing Casual,Medium,4,2,221.0,3
U00635,-1.605,-1.756,5.935,-1.288,5.935,True,False,Late Bloomer,Medium,1,1,341.0,3
U00714,0.577,-1.248,3.76,-1.055,3.76,True,False,Growing Casual,Medium,8,2,229.0,10
U00716,-1.294,-1.756,5.799,-1.255,5.799,True,False,Window Shopper,Low,2,1,334.0,4
U00724,0.265,-1.756,4.401,-1.288,4.401,True,False,Growing Casual,Medium,7,1,262.0,3
U00730,1.2,2.31,-0.668,3.031,3.031,True,False,Power Adopter,High,10,9,1.0,133
U00765,-0.047,-1.248,3.508,-1.088,3.508,True,False,Late Bloomer,Medium,6,2,216.0,9
U00857,0.889,-1.756,3.974,-1.255,3.974,True,False,Growing Casual,Medium,9,1,240.0,4
U00858,0.265,2.818,-0.59,3.23,3.23,True,True,Champion,High,7,10,5.0,139
U00865,4.006,0.277,-0.629,0.938,4.006,True,False,Plateaued User,Medium,19,5,3.0,70
U00866,-0.67,-1.756,4.168,-1.321,4.168,True,True,Growing Casual,Medium,4,1,250.0,2
U00867,3.694,-1.756,-0.687,-0.922,3.694,True,True,Plateaued User,Medium,18,1,0.0,14
U00911,-1.294,-1.756,4.77,-1.255,4.77,True,False,Window Shopper,Low,2,1,281.0,4
U00921,3.383,1.801,-0.512,1.935,3.383,True,True,Power Adopter,High,17,8,9.0,100
U00926,-0.358,-1.756,3.391,-1.321,3.391,True,True,Growing Casual,Medium,5,1,210.0,2
U00932,1.2,2.818,-0.532,4.493,4.493,True,True,Champion,High,10,10,8.0,177
U00972,3.694,1.801,-0.376,1.968,3.694,True,False,Champion,High,18,8,16.0,101
U00982,3.071,0.277,-0.007,0.34,3.071,True,False,Late Bloomer,High,16,5,35.0,52
U01040,-1.605,-1.756,4.498,-1.321,4.498,True,False,Window Shopper,Low,1,1,267.0,2
U01162,3.071,0.785,-0.318,1.204,3.071,True,False,Power Adopter,High,16,6,19.0,78
U01172,-1.605,-1.248,5.197,-1.155,5.197,True,False,Window Shopper,Low,1,2,303.0,7
U01173,-0.982,-1.756,4.983,-1.321,4.983,True,False,Growing Casual,Low,3,1,292.0,2
U01198,2.136,2.31,-0.629,4.094,4.094,True,True,Champion,High,13,9,3.0,165
U01213,0.265,-1.248,3.915,-1.221,3.915,True,False,Late Bloomer,Medium,7,2,237.0,5
U01252,0.577,2.818,-0.687,3.097,3.097,True,True,Champion,High,8,10,0.0,135
